UserId,Rec1,Rec2,Rec3,Rec4,Rec5
-9.22312E+18,-1.52569E+18,2134259819148812594,6583734846225935852,-6.62358E+18,-4.0297E+18
-9.21208E+18,7521700660190108859,-9.21693E+18,9136323715291453594,-3.79031E+18,8814787788150050622
-9.20725E+18,9136323715291453594,-5.52718E+18,-3.79031E+18,-8.38123E+18,2708089973817733462
-9.19958E+18,5640834597379907148,-8.94911E+18,3076823183761975019,2006478190737700267,6615662748793536194
-9.19667E+18,8779890754987103603,-4.87506E+18,-4.08439E+18,3660989387512978561,-8.81562E+18
-9.18819E+18,-4.33396E+18,-6.15912E+17,7507067965574797372,3057455921237571253,3196303498841885455
-9.17291E+18,8215778202715904841,2048657552251060795,-6.84086E+18,8224860111193157980,2032007496318616962
-9.15634E+18,7088167897470452815,-4.86686E+17,717471739656838182,-1.48327E+18,-1.98173E+18
-9.15058E+18,-6.57909E+18,4609121753781446855,-2.66787E+18,-5.48884E+18,-8.95435E+18
-9.12069E+18,8729086959762650511,-9.0641E+18,2858969450431709251,7270966256391553686,-7.46331E+18
-9.10979E+18,5304344058087060692,-5.79405E+18,-1.0686E+18,8224860111193157980,8586403905004879205
-9.09948E+18,5037403311832115000,1348739322889189648,2581138407738454418,-4.26296E+18,-8.85453E+17
-9.0837E+18,-8.74265E+18,-6.62358E+18,569574447134368517,-4.33396E+18,4891010769166501207
-9.06342E+18,-5.14859E+18,3367026768872537336,-3.04061E+18,-1.87813E+18,-7.38719E+18
-9.06021E+18,-7.63919E+18,4313871021753084020,-7.35063E+18,-7.8067E+16,-1.25941E+18
-9.04856E+18,7507067965574797372,-4.0297E+18,-9.2228E+18,3155118717275463069,3162261384765351942
-9.04755E+18,-8.65807E+18,6090089162789916215,7088167897470452815,8224860111193157980,8402348887626635381
-9.01653E+18,-5.48884E+18,-8.23698E+17,1019706997674210703,8690601908689146128,-1.56447E+18
-9.01203E+18,-4.87506E+18,-5.57161E+18,4781931173636001110,-4.88817E+18,7400903238402587728
-9.0098E+18,-3.94858E+16,-2.09763E+18,-4.09584E+18,1031060816592502094,-3.95418E+18
-9.00158E+18,8651615486877503655,-6.12143E+18,-5.92048E+18,-8.20344E+17,4508362112182399467
-8.99422E+18,-5.95273E+18,-6.78377E+18,-8.9342E+18,685073630661800600,-8.25802E+17
-8.98553E+18,5238119115012015307,1854874463930846880,3035329611795434601,-4.50949E+18,-5.78423E+18
-8.98415E+18,7616472242818646827,3268827390679661574,3180828616327439381,3151913710743441986,3155118717275463069
-8.9656E+18,-9.2228E+18,3149164017776669829,3151913710743441986,3155118717275463069,3162261384765351942
-8.96539E+18,6850500272809381909,-8.90899E+18,3582716808949240433,1734266821019430183,1515492713000932747
-8.9618E+18,5672978373195158195,-1.57225E+18,3196303498841885455,3155118717275463069,3162261384765351942
-8.90967E+18,-5.43155E+18,-9.2228E+18,3196303498841885455,3162261384765351942,3168079495368669052
-8.89103E+18,991271693336573226,-6.543E+18,3205047378909988692,3170775058142440102,3172866488852888544
-8.86067E+18,-7.68141E+18,-5.57161E+18,3845974592165897942,3880098804615440102,-2.05194E+17
-8.85942E+18,-5.81321E+18,4788854083489560153,-7.42604E+17,-4.88817E+18,-9.02899E+18
-8.85467E+18,-9.2228E+18,3205047378909988692,3155118717275463069,3162261384765351942,3168079495368669052
-8.85366E+18,-5.29763E+18,-6.84305E+18,1772786465683785304,654383168348870348,-3.7596E+18
-8.8453E+18,216869981229779312,3075810310719170278,7664140604181040222,-1.73794E+18,3180608611815082945
-8.83025E+18,-7.29472E+18,-6.59082E+18,-1.63474E+18,-2.47994E+18,4164212115654350513
-8.82395E+18,3149164017776669829,7062745737910050042,-4.13233E+18,8163984238975480171,-8.48071E+18
-8.82187E+18,5445999759138709405,569574447134368517,-5.01463E+18,6743199836219189414,-3.05803E+18
-8.80208E+18,-9.2228E+18,3193164045772142182,3155118717275463069,3162261384765351942,3168079495368669052
-8.78467E+18,4105873627900556540,-6.72669E+18,-3.8508E+18,-6.78377E+18,-4.13317E+18
-8.78164E+18,5338677278233757627,2715453133655798791,-1.42578E+18,6620060201676471218,-9.2228E+18
