If you liked (ID),If you liked (Title),Recommendation 1 (ID),Recommendation 1 (Title),Similarity 1,Recommendation 2 (ID),Recommendation 2 (Title),Similarity 2,Recommendation 3 (ID),Recommendation 3 (Title),Similarity 3,Recommendation 4 (ID),Recommendation 4 (Title),Similarity 4,Recommendation 5 (ID),Recommendation 5 (Title),Similarity 5
0,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",1,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",1.0000,9,The Rise And Growth of Ethereum Gets Mainstream Coverage,0.8660,525,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.5735,184,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.5615,83,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,0.4721
1,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",1,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",1.0000,9,The Rise And Growth of Ethereum Gets Mainstream Coverage,0.8660,525,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.5735,184,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.5615,83,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,0.4721
2,Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,2933,America's allies are preparing for a bumpy ride,0.1454,2162,I've had the chance to troll Donald Trump. But I didn't.,0.1088,2739,What A Difference 2 Percentage Points Makes,0.0860,331,How To Benefit From Getting Paid in Bitcoin,0.0817,2462,Blockchain Will Be Used By 15% of Big Banks By 2017,0.0682
3,Google Data Center 360° Tour,142,Google shares data center security and design best practices,0.3051,676,This year's Founders' Letter,0.2780,248,Google Cloud Platform: The smart person's guide - TechRepublic,0.2747,906,YouTube's New Messenger Means You'll Never Have to Leave YouTube,0.2728,547,Top 5 GCP NEXT breakout sessions on YouTube (so far),0.2608
4,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.3533,375,Blockchain won't kill banks: Bitcoin pioneer,0.3199,181,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.3089,334,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",0.2942,932,Confused by blockchains? Revolution vs Evolution,0.2920
5,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,262,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,0.2625,75,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,0.2540,928,The Blockchain is the new Google,0.2538,22,From fine wine to lotteries: Blockchain tech takes off - BBC News,0.2527,332,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",0.2342
6,Banks Need To Collaborate With Bitcoin and Fintech Developers,862,Is FinTech Forcing Banking to a Tipping Point?,0.4795,1768,The Future of Digital Banking is Now,0.3696,2593,Digital Tool as Strategic Enabler for Banking Transformation,0.3354,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.3217,181,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,0.3147
7,Blockchain Technology Could Put Bank Auditors Out of Work,928,The Blockchain is the new Google,0.3241,932,Confused by blockchains? Revolution vs Evolution,0.3002,2328,Banks find blockchain hard to put into practice - FT.com,0.2869,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.2770,983,"Smart Managers Don't Compare People to the ""Average""",0.2507
8,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,2378,Are you a bitcoin denialist? - Chris Skinner's blog,0.3390,183,Blockchain CEO's Business Advice on Bitcoin Startups,0.2973,114,Governments vs Bitcoin: A Fight For Control,0.2649,33,French Senate Will Debate on Bitcoin Regulation,0.2520,117,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,0.2508
9,The Rise And Growth of Ethereum Gets Mainstream Coverage,0,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.8660,1,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",0.8660,525,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",0.5755,184,Ethereum and Bitcoin Are Market Leaders But Not Competitors,0.5430,112,Solidity Available in Visual Studio - Ethereum Blog,0.4615
10,Situação financeira ruim de varejistas pressiona shoppings e eleva renegociações - Home - iG,2487,Negociação deve garantir ocupação de shoppings até 2017 | EXAME.com,0.5113,1807,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,0.4095,1110,"Como o e-commerce brasileiro pode, enfim, começar a lucrar",0.4075,2882,"SINAIS do FUTURO imediato: #1, internet das coisas",0.4070,2571,A saga do jovem CEO da Dasa,0.3979
11,Setting Up HTTP(S) Load Balancing,422,Introducing the new Google Cloud Load Balancing UI,0.5673,12,Setting Up SSL proxy for Google Cloud Load Balancing,0.4612,1761,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,0.3682,454,Implementing HTTP/2 in Production Environments,0.3572,452,How HTTP/2 is Changing Web Performance Best Practices,0.3551
12,Setting Up SSL proxy for Google Cloud Load Balancing,11,Setting Up HTTP(S) Load Balancing,0.4612,422,Introducing the new Google Cloud Load Balancing UI,0.3105,1918,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),0.2734,85,Google Cloud Platform for AWS Professionals,0.2049,2519,BrowserLab: Automated regression detection for the web,0.1557
13,NTT to buy Dell's services division for $3.05 billion,2103,Empresas de tecnologia preparam mais demissões após cortes na Cisco,0.1285,1657,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,0.0981,1934,Google's Cloud Investments are Finally Starting to Pay Off,0.0891,1833,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",0.0669,1841,What's next for China's booming fintech sector?,0.0666
14,"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",1979,Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,0.1962,1669,Serious Business: Is The Sharing Economy Good For Business?,0.1707,51,The economic essentials of digital strategy,0.1704,1960,Automation and anxiety,0.1703,1926,The Conversational Economy Part 1: What's Causing the Bot Craze?,0.1695
15,The internet of a billion things | ET CIO,609,Will IIoT bolster industrial automation investments? - ReadWrite,0.3322,885,Will blockchain drive the fourth Industrial Revolution?,0.2346,94,The Internet of Things,0.1945,2132,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,0.1832,2745,GE Digital snags ServiceMax for $915 million,0.1511
16,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,17,Rede Agricultura de Precisão II,0.5248,1540,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,0.2934,571,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,0.2801,272,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,0.2432,2334,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",0.2398
